Time,China,India,United States of America,Japan,Korea
Jan-20,10420.3742,4787.6471,6408.4839,2517.4494,2922.7994
Feb-20,10591.2828,4738.91,6519.3103,3019.1586,2951.8121
Mar-20,9704.9032,4639.5339,6296.1613,2965.5929,2713.111
Apr-20,9864.92,4066.5203,5543.6333,2993.4483,2742.8683
May-20,11327.1097,3472.6965,6086.871,2094.031,2543.1255
Jun-20,12975.92,3359.983,6397.3,1790.91,2435.785
Jul-20,12111.0581,2932.5468,5906.0323,2193.8826,2756.38
Aug-20,11211.4065,4008.0913,5432.4516,2329.6332,2507.9397
Sep-20,11829.608,3729.22,5397.5333,2129.4387,2661.307
Oct-20,10049.6516,3627.7042,5306.2581,2241.6687,2649.8716
Nov-20,11067.84,4490.541,5621.8333,2126.245,2317.865
Dec-20,9083.8839,4871.0945,5761.1935,2799.1735,2724.0471
Jan-21,10731.8284,4658.5532,5845.0645,2583.0661,2479.8861
Feb-21,11534.49,4010.0696,5620.7143,2513.6964,2659.7804
Mar-21,11725.9316,4341.4055,5799.2903,2020.0932,2319.8858
Apr-21,9847.84,4484.645,5822.0333,2581.4653,2748.5187
May-21,9673.7342,4103.1881,5868.7742,2391.6839,2611.5952
Jun-21,9792.94,3907.3283,6647.5667,2028.4697,2672.1163
Jul-21,9737.9613,3570.6461,6394.9032,2057.181,2517.2116
Aug-21,10514.8258,4133.3813,6236.5161,2792.0413,2584.7303
Sep-21,10016.2,4325.6987,6526.1333,2533.5603,2597.6793
Oct-21,8925.6774,4061.821,5971.3548,2606.8403,2746.1571
Nov-21,10196.76,4513.8793,6333.6667,2886.829,2678.7493
Dec-21,10894.9935,4671.1535,6421.5484,2755.9045,2752.5761
Jan-22,10015.1768,4577.721,6383,2742.1155,3006.7223
Feb-22,11169.7971,4630.4657,6154.4643,2857.1911,2831.6593
Mar-22,10085.071,4524.4668,6415.5806,2900.4516,2711.4468
Apr-22,10499.32,5128.2917,6059,2921.9593,2766.4523
May-22,10819.4323,4651.6587,6162.9032,2452.0703,2487.4939
Jun-22,8739.836,4718.274,6473.1667,2146.3897,2448.314
Jul-22,8814.2245,4836.1465,6603.8387,2602.3232,3111.5665
Aug-22,9528.751,4172.1332,6330.0645,3158.8771,3011.4771
Sep-22,9819.048,4043.182,6268.2667,2969.8643,2720.267
Oct-22,10186.6065,4266.7545,6237,2361.2529,2565.4732
Nov-22,11404.56,4644.0827,6243.0667,2843.8373,2764.9783
Dec-22,11349.5419,4640.2471,5990.129,2774.2106,2680.3026
Jan-23,9928.0452,4744.3781,6309.9032,2682.9177,2633.2297
Feb-23,10984.9671,5024.2343,6596.0357,2808.2332,3095.1368
Mar-23,12351.4374,4928.1526,6325.3548,2648.6829,2950.3774
Apr-23,10347.308,4873.2897,6194.0333,2819.762,2640.9167
May-23,12147.4219,4764.8239,6469.5484,2115.4277,2725.4735
Jun-23,12703.128,4712.378,6493.8,2406.5507,2561.5663
Jul-23,10315.5329,4593.1742,6287.0645,2578.549,2637.509
Aug-23,12468.5574,4452.6687,6851.3871,2482.2635,2397.3897