LOCATION,TIME,Value
IND,2020-Q1,2.2735
IND,2020-Q2,-21.92111
IND,2020-Q3,-4.83805
IND,2020-Q4,1.01489
IND,2021-Q1,2.29999
IND,2021-Q2,22.16248
IND,2021-Q3,8.984
IND,2021-Q4,4.54086
IND,2022-Q1,3.6329
IND,2022-Q2,13.10546
IND,2022-Q3,5.51228
IND,2022-Q4,4.63865
IND,2023-Q1,6.27858
IND,2023-Q2,7.26172
OECD,2020-Q1,-0.567013099
OECD,2020-Q2,-11.37621202
OECD,2020-Q3,-3.44956681
OECD,2020-Q4,-2.388647553
OECD,2021-Q1,0.15083326
OECD,2021-Q2,13.68073613
OECD,2021-Q3,5.067273727
OECD,2021-Q4,5.363778979
OECD,2022-Q1,4.617787828
OECD,2022-Q2,3.301102327
OECD,2022-Q3,2.568634667
OECD,2022-Q4,1.382785377
OECD,2023-Q1,1.610116602
OECD,2023-Q2,1.6
CHN,2020-Q1,-6.9
CHN,2020-Q2,3.1
CHN,2020-Q3,4.8
CHN,2020-Q4,6.4
CHN,2021-Q1,18.7
CHN,2021-Q2,8.3
CHN,2021-Q3,5.2
CHN,2021-Q4,4.3
CHN,2022-Q1,4.8
CHN,2022-Q2,0.4
CHN,2022-Q3,3.9
CHN,2022-Q4,2.9
CHN,2023-Q1,4.5
CHN,2023-Q2,6.3
JPN,2020-Q1,-1.818437021
JPN,2020-Q2,-9.865190163
JPN,2020-Q3,-4.959443855
JPN,2020-Q4,-0.41412717
JPN,2021-Q1,-1.058572845
JPN,2021-Q2,7.966179273
JPN,2021-Q3,1.806972239
JPN,2021-Q4,0.979173828
JPN,2022-Q1,0.68190986
JPN,2022-Q2,1.434723754
JPN,2022-Q3,1.520913958
JPN,2022-Q4,0.461849713
JPN,2023-Q1,1.849551193
JPN,2023-Q2,1.727295657
KOR,2020-Q1,1.435724735
KOR,2020-Q2,-2.686169257
KOR,2020-Q3,-0.845217168
KOR,2020-Q4,-0.718111407
KOR,2021-Q1,2.36246407
KOR,2021-Q2,6.474653901
KOR,2021-Q3,4.197985358
KOR,2021-Q4,4.24876323
KOR,2022-Q1,3.095079906
KOR,2022-Q2,2.962012176
KOR,2022-Q3,3.071525756
KOR,2022-Q4,1.345043666
KOR,2023-Q1,1.012111697
KOR,2023-Q2,0.869927738
USA,2020-Q1,0.820082981
USA,2020-Q2,-8.350640156
USA,2020-Q3,-2.024010121
USA,2020-Q4,-1.516619933
USA,2021-Q1,1.19193505
USA,2021-Q2,12.46085441
USA,2021-Q3,4.955654481
USA,2021-Q4,5.717100091
USA,2022-Q1,3.683678958
USA,2022-Q2,1.796042498
USA,2022-Q3,1.942138388
USA,2022-Q4,0.881277641
USA,2023-Q1,1.800192812
USA,2023-Q2,2.468908315