quarter,,,date,world production,,world consumption,,stock change,draw,build 
2018-Q1,2018,Q1,1/1/18,98.98,,99.26,,0.27,-0.27,0.00
2018-Q2,,Q2,1/4/18,99.68,,99.76,,0.09,-0.09,0.00
2018-Q3,,Q3,1/7/18,101.23,,100.91,,-0.32,0.00,0.32
2018-Q4,,Q4,1/10/18,101.97,,100.26,,-1.71,0.00,1.71
2019-Q1,2019,Q1,1/1/19,99.75,,99.87,,0.11,-0.11,0.00
2019-Q2,,Q2,1/4/19,100.06,,100.61,,0.56,-0.56,0.00
2019-Q3,,Q3,1/7/19,99.95,,101.86,,1.91,-1.91,0.00
2019-Q4,,Q4,1/10/19,101.42,,101.21,,-0.20,0.00,0.20
2020-Q1,2020,Q1,1/1/20,100.30,,93.73,,-6.58,0.00,6.58
2020-Q2,,Q2,1/4/20,91.92,,86.84,,-5.08,0.00,5.08
2020-Q3,,Q3,1/7/20,90.80,,92.47,,1.67,-1.67,0.00
2020-Q4,,Q4,1/10/20,92.54,,93.24,,0.70,-0.70,0.00
2021-Q1,2021,Q1,1/1/21,92.81,,93.98,,1.16,-1.16,0.00
2021-Q2,,Q2,1/4/21,94.84,,96.68,,1.84,-1.84,0.00
2021-Q3,,Q3,1/7/21,96.75,,98.47,,1.72,-1.72,0.00
2021-Q4,,Q4,1/10/21,98.34,,99.36,,1.02,-1.02,0.00
2022-Q1,2022,Q1,1/1/22,98.96,,98.46,,-0.51,0.00,0.51
2022-Q2,,Q2,1/4/22,98.86,,98.60,,-0.26,0.00,0.26
2022-Q3,,Q3,1/7/22,100.85,,100.08,,-0.77,0.00,0.77
2022-Q4,,Q4,1/10/22,101.09,,99.48,,-1.60,0.00,1.60
2023-Q1,2023,Q1,1/1/23,101.00,,99.84,,-1.15,0.00,1.15
2023-Q2,,Q2,1/4/23,101.30,,100.77,,-0.53,0.00,0.53
2023-Q3,,Q3,1/7/23,101.17,,101.44,,0.27,-0.27,0.00
2023-Q4,,Q4,1/10/23,101.56,,101.62,,0.06,-0.06,0.00
2024-Q1,2024,Q1,1/1/24,101.53,,101.75,,0.22,-0.22,0.00
2024-Q2,,Q2,1/4/24,101.94,,101.87,,-0.06,0.00,0.06
2024-Q3,,Q3,1/7/24,102.58,,102.62,,0.05,-0.05,0.00
2024-Q4,,Q4,1/10/24,102.73,,102.69,,-0.04,0.00,0.04